id,drug_text
0,"Lepirudin is indicated for anticoagulation in adult patients with acute coronary syndromes (ACS) such as unstable angina and acute myocardial infarction without ST elevation. [L41539] Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.[L41539]Lepirudin is a recombinant hirudin formed by 65 amino acids that acts as a highly specific and direct thrombin inhibitor.[L41539,L41569] Natural hirudin is an endogenous anticoagulant found in _Hirudo medicinalis_ leeches.[L41539] Lepirudin is produced in yeast cells and is identical to natural hirudin except for the absence of sulfate on the tyrosine residue at position 63 and the substitution of leucine for isoleucine at position 1 (N-terminal end).[A246609]     Lepirudin is used as an anticoagulant in patients with heparin-induced thrombocytopenia (HIT), an immune reaction associated with a high risk of thromboembolic complications.[A3, L41539] HIT is caused by the expression of immunoglobulin G (IgG) antibodies that bind to the complex formed by heparin and platelet factor 4. This activates endothelial cells and platelets and enhances the formation of thrombi.[A246609] Bayer ceased the production of lepirudin (Refludan) effective May 31, 2012.[L41574]Lepirudin is a recombinant hirudin that acts as a highly specific thrombin inhibitor. Its activity is measured by anti-thrombin units (ATUs) that correspond to the amount of lepirudin required to neutralize a unit of the World Health Organization α-thrombin (89/588) standard. The activity of lepirudin is 16,000 ATU/mg.[L41539,L41569] A single molecule of lepirudin binds to a molecule of thrombin, blocking its thrombogenic activity. This drug increases activated partial thromboplastin time (aPTT)  and PT (INR) values in a dose-dependent manner, and its mode of action is independent of antithrombin III.[L41539,L41569] Platelet factor 4 does not inhibit lepirudin.[L41539,L41569]    The pharmacodynamic effect of lepirudin was evaluated by measuring an increase in aPTT. No saturable effect was observed at the highest tested dose (0.5 mg/kg, IV bolus).[L41539] Thrombin time was considered an unsuitable routine test for lepirudin monitoring due to the high values detected (200 seconds) even at low doses.[L41539] The concomitant use of thrombolytic therapy and lepirudin is not recommended due to the high risk of bleeding that may be life-threatening. In patients with a risk of bleeding, a physician should weigh the risks of lepirudin administration against its benefits.  There is also an especially high risk of bleeding in patients who weigh less than 50 kg, and a lower dosage is required. Patients with renal impairment have a higher risk of hemorrhagic adverse events.[L41539]Lepirudin is a direct thrombin inhibitor used as an anticoagulant in patients for whom heparin is contraindicated.[L41539,A3] Thrombin is a serine protease that participates in the blood-clotting cascade, and it is formed by the cleavage of pro-thrombin. Active thrombin cleaves fibrinogen and generates fibrin monomers that polymerize to form fibrin clots.[A246624]    Lepirudin binds to the catalytic and substrate-binding sites of thrombin, forming a stable, irreversible and non-covalent complex.[A246609] This blocks the protease activity of thrombin and inhibits the coagulation process. Each molecule of lepirudin binds to a single molecule of thrombin,[L41539] and unlike [heparin], it is able to inhibit thrombin in both its clot-bound or free states.[A246609]"
1,"Cetuximab indicated for the treatment of locally or regionally advanced squamous cell carcinoma of the head and neck in combination with radiation therapy. It is indicated for recurrent or metastatic squamous cell carcinoma of the head and neck progressing after platinum-based therapy.[L30448]    Cetuximab is also indicated for K-Ras wild-type, EGFR-expressing;[L39045]    Cetuximab is not indicated for the treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown.[L30448]Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF).[A227973] EGFR is a member of the ErbB family of receptor tyrosine kinases found in both normal and tumour cells; it is responsible for regulating epithelial tissue development and homeostasis.[A228083] EGFR has been implicated in various types of cancer, as it is often overexpressed in malignant cells [A227973] and EGFR overexpression has been linked to more advanced disease and poor prognosis.[A227963] EGFR is often mutated in certain types of cancer and serves as a driver of tumorigenesis.[A228083] _In vitro_, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts.[A227963]    Approved by the FDA in February 2004 under the brand name ERBITUX, cetuximab is used for the treatment of head and neck cancer and metastatic, KRAS wild-type colorectal cancer, and metastatic colorectal cancer with a BRAF V600E mutation.[A227963,L39045] It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.[L30448]Cetuximab is an anticancer agent that works by inhibiting the growth and survival of epidermal growth factor receptor (EGFR)-expressing tumour cells with high specificity and higher affinity than epidermal growth factor (EGF) and transforming growth factor-alpha (TGF-α), which are natural ligands of EGFR.[L31418] Cetuximab works by inhibiting the growth and survival of EGFR-positive tumours.[A227963] _In vitro_, it promotes antibody-dependent cellular cytotoxicity (ADCC) against certain human tumour types. On the contrary, cetuximab does not exert its anti-tumour effects on human tumour xenografts lacking EGFR expression.[L30448] In human tumour xenograft models in mice, cetuximab and irinotecan synergistically inhibited the growth of orthotopic anaplastic thyroid carcinoma xenografts _in vitro_ and _in vivo_. Cetuximab potentiated the _in vitro_ anti-proliferative and pro-apoptotic effect of irinotecan and achieved 93% _in vivo_ inhibition of tumour growth when combined with irinotecan, compared to 77% and 79% inhibition when cetuximab and irinotecan were used alone, respectively.[A227978]The epidermal growth factor receptor (EGFR) is a transmembrane glycoprotein and a type I receptor tyrosine kinase expressed on both normal and malignant cells. It has been investigated as a therapeutic target for anticancer treatment, as it is often upregulated in cancer types, including head and neck, colon, and rectal cancers.[L30448] When activated by its ligand, EGFR undergoes a conformational change and dimerization to form homodimers or heterodimers with another member of the ErbB family of receptors. Dimerization of EGFR activates the intracellular tyrosine kinase region of EGFR and promotes autophosphorylation, initiating a series of downstream signalling cascades, including cell differentiation, proliferation, migration, angiogenesis, and apoptosis. This EGFR signalling pathway is often dysregulated in cancer cells, leading to aberrant cell growth and enhanced cell survival.[L31418]    Cetuximab is a monoclonal antibody that binds specifically to the EGFR on both normal and tumour cells to competitively inhibit the binding of epidermal growth factor (EGF) and other ligands that are produced by normal and tumour tissue epithelial cells.[A11, L30448] Upon binding to domain III of EGFR - which is the binding site for its growth factor ligands - cetuximab prevents the receptor from adopting an extended conformation and thereby inhibits EGFR activation, as well as phosphorylation and activation of receptor-associated kinases (MAPK, PI3K/Akt, Jak/Stat).[A11, A228078] Inhibition of the EGFR signalling pathway ultimately leads to inhibition of cell cycle progression, cell survival pathways, and tumour cell motility and invasion.[A227963] Cetuximab also induces cell apoptosis and decreases matrix metalloproteinase and vascular endothelial growth factor (VEGF) production.[A228078, L30448] _In vitro_, cetuximab was shown to inhibit tumour angiogenesis.[A227973]    K-ras is a small G-protein downstream of EGFR that plays an important role in promoting the EGFR signalling cascade: in some malignant cells, K-ras can acquire activating mutations in exon 2 [L31418] and thus be continuously active regardless of EGFR regulation.[L30448] Since mutant Ras proteins can isolate the pathway from the effect of EGFR, K-Ras mutations can render EGFR inhibitors like cetuximab ineffective in exerting anti-tumour effects.[L30448, L31418] Cetuximab is thus only limited in its use for K-Ras wild-type, EGFR-expressing cancers.[L30448]"
2,"Etanercept is indicated for the treatment of moderately to severely active rheumatoid arthritis in adults and in chronic moderate to severe plaque psoriasis in patients 4 years of age and older.[L14862,L45523] It is also used to manage signs and symptoms of polyarticular idiopathic arthritis and Juvenile Psoriatic Arthritis in those aged 2 years and older. Etanercept is also used to manage the symptoms of psoriatic arthritis and ankylosing spondylitis.[L48526] Dimeric fusion protein consisting of the extracellular ligand-binding portion of the human 75 kilodalton (p75) tumor necrosis factor receptor (TNFR) linked to the Fc portion of human IgG1.[L14862,A216522] The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. Etanercept is produced by recombinant DNA technology in a Chinese hamster ovary (CHO) mammalian cell expression system. It consists of 934 amino acids. It is used to treat or manage a variety of inflammatory conditions including rheumatoid arthritis (RA), ankylosing spondylitis (AS), and juvenile idiopathic poly-articular arthritis (JIA).Etanercept binds specifically to tumor necrosis factor (TNF) and thereby modulates biological processes that are induced or regulated by TNF.[L14862,A216522] Such processes or molecules affected include the level of adhesion molecules expressed, as well as serum levels of cytokines and matrix metalloproteinases.There are two distinct receptors for TNF (TNFRs), a 55 kilodalton protein (p55) and a 75 kilodalton protein (p75). The biological activity of TNF is dependent upon binding to either cell surface receptor (p75 or p55).[A216522] Etanercept is a dimeric soluble form of the p75 TNF receptor that can bind to two TNF molecules, thereby effectively removing them from circulation. Notably, etancerpt is only capable of binding to the active trimeric form of TNF as its binding site is located in the cleft between subunits.[A77626]TNF is a naturally occurring cytokine that is involved in normal inflammatory and immune responses.[A216522] Increased levels of TNF are found in tissues and fluids of those with rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and plaque psoriasis. "
3,"For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. It is administered intravenously. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure.Bivalirudin mediates an inhibitory action on thrombin by directly and specifically binding to both the catalytic site and anion-binding exosite of circulating and clot-bound thrombin. The action of bivalirudin is reversible because thrombin will slowly cleave the thrombin-bivalirudin bond which recovers the active site of thrombin. Inhibits the action of thrombin by binding both to its catalytic site and to its anion-binding exosite. Thrombin is a serine proteinase that plays a central role in the thrombotic process, acting to cleave fibrinogen into fibrin monomers and to activate Factor XIII to Factor XIIIa, allowing fibrin to develop a covalently cross-linked framework which stabilizes the thrombus; thrombin also activates Factors V and VIII, promoting further thrombin generation, and activates platelets, stimulating aggregation and granule release."
4,"Leuprolide is indicated for the treatment of advanced prostate cancer [L13781, L34415] and as palliative treatment of advanced prostate cancer.[L13790]     It is also used for the treatment of pediatric patients with central precocious puberty (CPP).leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.[L13814]Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). Unlike the endogenous decapeptide GnRH, leuprolide contains a single D-amino acid (D-leucyl) residue, which helps to increase its circulating half-life from three to four minutes to approximately three hours.[A203222] As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty.[A203126, A203132]    Leuprolide was first approved in 1985 as a daily subcutaneous injection under the tradename Lupron�?by Abbvie Endocrine Inc.[L13850] Since this initial approval, various long-acting intramuscular and subcutaneous products have been developed such that patients can be dosed once every six months.[L13781, L13790] Leuprolide remains frontline therapy in all conditions for which it is indicated for use.Leuprolide is a gonadotropin-releasing hormone (GnRH) analogue that functions as a GnRH receptor superagonist.[A203132, A203222] After an initial spike in GnRH-mediated steroidal production, including testosterone and estradiol, prolonged use results in a significant drop in circulating steroid levels, in line with those produced through other forms of androgen-deprivation therapy (ADT).[A203126, A203129, A203132] The corresponding hormonal/steroidal changes produce specific adverse effects in different patient populations.    In women undergoing treatment for endometriosis or uterine leiomyomata, careful consideration regarding pregnancy status is advised. The initial increase in estradiol levels may worsen symptoms such as pain and bleeding. Long-term use of leuprolide is associated with loss of bone mineral density. Patients with a history of depression may experience severe recurrence of depressive symptoms.[L10310, L13814]    In men undergoing palliative treatment for advanced/metastatic prostate cancer, short-term spikes in testosterone levels may cause tumour flare and associated symptoms such as bone pain, hematuria, neuropathy, bladder and/or ureteral obstruction, and spinal cord compression. In addition, patients are at increased risk of developing hyperglycemia, diabetes, and cardiovascular disease, which may manifest through myocardial infarction, stroke, cardiac death, or prolonged QT/QTc interval. In addition, Leuprolide may cause convulsions and embryo-fetal toxicity.[L13781, L13790]    In pediatric patients undergoing treatment for central precocious puberty (CPP), the initial steroidal spike may be associated with increased clinical signs of puberty within 2-4 weeks of treatment initiation. In addition, leuprolide may cause convulsions and psychiatric symptoms, including irritability, impatience, aggression, anger, and crying.[L13784, L13787]Gonadotropin-releasing hormone (GnRH) is a naturally occurring decapeptide that modulates the hypothalamic-pituitary-gonadal (HPG) axis. GnRH binds to corresponding receptors (GnRHRs) on the anterior pituitary gonadotropes, which in turn release luteinizing hormone (LH) and follicle-stimulating hormone (FSH); these, in turn, affect the downstream synthesis and release of the sex hormones testosterone, dihydrotestosterone, estrone, and estradiol.[A203126, A203132]    Despite the variety of conditions indicated for treatment with leuprolide, the mechanism of action underlying efficacy is the same in all cases. As a GnRHR agonist, leuprolide binds to and initially activates downstream LH and FSH release; this initial spike in gonadotropin levels is responsible for some of the adverse effects associated with treatment. After 2-4 weeks of treatment, continuous stimulation of GnRHR results in feedback inhibition and significant downregulation of LH, FSH, and their corresponding downstream effects, producing a therapeutic benefit. These effects are reversible upon treatment discontinuation."
5,"Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. Alteplase is also indicated for the lysis of acute massive pulmonary embolism, defined as acute pulmonary emboli obstructing blood flow to a lobe or multiple lung segments, and acute pulmonary emboli accompanied by unstable hemodynamics.[L43125]Alteplase is a recombinant tissue plasminogen activator (rt-PA) used as a thrombolytic agent.[L43125] It cleaves plasminogen to form plasmin, an enzyme involved in the degradation of fibrin clots. In the absence of fibrin, the alteplase-mediated conversion of plasminogen is limited, thanks to the high affinity between alteplase and fibrin.[A252330,L43125] Alteplase is a purified glycoprotein of 527 amino acids expressed in Chinese hamster ovary (CHO) cells.[A252345,L43125] It was first approved by the FDA in 1987 for the management of thromboembolic disease, including acute myocardial infarction (AMI).[A252270] The use of alteplase to manage AMI has decreased thanks to the availability of safer treatments such as angioplasty and stenting. However, its use for the treatment of acute ischemic stroke (AIS) has increased over the years.[A252340] New thrombolytic agents derived from tissue plasminogen activator, such as [desmoteplase], [tenecteplase] and [reteplase], have also been developed.[A252270,A252345] Alteplase is also available as Cathflo Activase (intracatheter instillation) for the restoration of function to central venous access devices.[L34864]Alteplase binds to fibrin and plasminogen. Alteplase specificity for fibrin is achieved thanks to its high affinity for lysine residues. Also, it can bind plasminogen via loop structures called kringles, stabilized by three disulphide linkages similar to the ones in plasminogen. The specificity of alteplase for plasminogen bound to fibrin allows this drug to act in a clot- or fibrin-specific manner, leading to low concentrations of circulating plasmin and a lower risk of hemorrhagic transformation.[A252270,A252330]     In patients with acute myocardial infarction, alteplase reduces fibrinogen levels 3 to 6 hours after treatment. In patients with acute ischemic stroke, patients treated with alteplase have a significantly higher resolution of hyperdense artery sign, a marker of clot formation in the proximal middle cerebral artery, compared to those treated with placebo.[A252330] The use of alteplase increases the risk of bleeding and thromboembolic events. Rare cases of cholesterol embolism have also been reported.[L43125]Alteplase is a recombinant tissue plasminogen activator (rt-PA) that converts plasminogen to plasmin in a fibrin-dependent process. In the absence of fibrin, alteplase converts a limited amount of plasminogen. However, in the presence of fibrin clots, alteplase binds to fibrin and cleaves the arginine-valine bond at positions 560 and 561 of plasminogen, converting it into its active form, plasmin. Plasmin in turn degrades the fibrin matrix of the thrombus and promotes clot dissolution.[A252270] Alteplase initiates local fibrinolysis with limited systemic proteolysis.[L43125]"
6,"Goserelin is indicated for:    - Use in combination with flutamide for the management of locally confined carcinoma of the prostate  - Palliative treatment of advanced carcinoma of the prostate  - The management of endometriosis  - Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding  - Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal womenGoserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.The pharmacokinetics of goserelin have been determined in both male and female healthy volunteers and patients. In these studies, goserelin was administered as a single 250µg (aqueous solution) dose and as a single or multiple 3.6 mg depot dose by subcutaneous route.Goserelin is a synthetic decapeptide analogue of LHRH. Goserelin acts as a potent inhibitor of pituitary gonadotropin secretion when administered in the biodegradable formulation. The result is sustained suppression of LH and serum testosterone levels."
7,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Calcitonin can be used in patients with azotemia and cases where intravenous fluids would be contraindicated due to limited cardiac reserves. Also for the treatment of post-menopausal osteoporosis in women more than 5 years post-menopause.  Synthetic peptide, 32 residues long formulated as a nasal spray.Calcitonin inhibits bone resorption by osteoclasts (bone remodeling cells) and promotes bone formation by osteoblasts. This leads to a net increase in bone mass and a reduction in plasma calcium levels. It also promotes the renal excretion of ions such as calcium, phosphate, sodium, magnesium, and potassium by decreasing tubular reabsorption. In consequence, there is an increase in the jejunal secretion of water, sodium, potassium, and chloride.Calcitonin binds to the calcitonin receptor (found primarily in osteoclasts) which then enhances the production of vitamin D producing enzymes (25-hydroxyvitamine D-24-hydroxylase), leading to greater calcium retention and enhanced bone density. Binding of calcitonin to its receptor also activates adenylyl cyclase and the phosphatidyl-inositol-calcium pathway."
8,"Anakinra is an interleukin-1 receptor antagonist indicated for the reduction in signs and symptoms and slowing the progression of structural damage in moderately to severely active rheumatoid arthritis (RA), in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs).[L35415]    Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA).[L35415] Anakinra is also used off-label for the treatment of several inflammatory diseases.[A247000]    The FDA has issued an emergency use authorization (EUA) for the emergency use of anakinra for the treatment of coronavirus disease 2019 (COVID-19) in hospitalized adults with positive results of direct SARS-CoV-2 viral testing with pneumonia requiring supplemental oxygen (low- or high-flow oxygen) who are at risk of progressing to severe respiratory failure and likely to have an elevated plasma soluble urokinase plasminogen activator receptor (suPAR). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.[L43927]Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. Unlike native human IL-1Ra, anakinra has an additional methionine residue at the amino terminus. This drug binds to the IL-1 receptor, competing with and inhibiting the activity of IL-1 alpha and beta.[L35415] Anakinra is indicated for the management of rheumatoid arthritis (RA) in patients 18 years of age or older who have failed one or more disease-modifying antirheumatic drugs (DMARDs), as well as the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA).[L35415] Since IL-1 has an important role in inflammation and immunological responses, anakinra is also used for the off-label treatment of inflammatory diseases.[A247000]    Anakinra is produced using the _E. Coli_ bacterial expression system. On November 14, 2001, it was approved by the FDA for the treatment of rheumatoid arthritis. It was later approved for the treatment of NOMID and DIRA on December 21, 2012, and December 18, 2020, respectively. A few studies have evaluated the use of anakinra for the treatment of coronavirus disease 2019 (COVID-19).[A247265] On November 8, 2022, the FDA issued an emergency use authorization (EUA) of anakinra for the treatment of COVID-19 in hospitalized patients who are at risk of progressing to severe respiratory failure.[L43932]Anakinra is a recombinant human interleukin-1 receptor antagonist (IL-1Ra) that blocks the biologic activity of interleukin-1 (IL-1) by competitively inhibiting its ability to bind to the IL-1 type I receptor (IL-1RI). IL-1 production is higher in inflammatory diseases such as rheumatoid arthritis, where the amount of naturally occurring IL-1Ra cannot compete with the high level of IL-1 present.[L35415]     Anakinra has been associated with a higher probability of developing a severe infection, and the use of TNF blocking agents can increase this incidence.[L35415] Hypersensitivity reactions have been reported in patients using anakinra. The prevalence of allergic reactions may be higher in patients with deficiency of interleukin-1 receptor antagonist (DIRA), since they lack the naturally occurring IL-1Ra.[L35415] Anakinra can also decrease neutrophil counts in patients. Therefore, neutrophil counts should be assessed before initiating anakinra.[L35415]Interleukin-1 (IL-1) plays an important role in inflammation and immunological responses. Inflammatory stimuli trigger its production, and it binds to the IL-1 receptor to activate a wide variety of mechanisms. The activity of the IL-1 receptor is also regulated by a naturally occurring IL-1 receptor antagonist (IL-1Ra) that competes for the binding sites of the IL-1 receptor.[L35415] In rheumatoid arthritis (RA) patients, IL-1 levels are elevated, inducing cartilage degradation and the stimulation of bone resorption, and the amount of IL-1Ra in the synovium and synovial fluid of RA patients cannot compete with the high level of IL-1 present.[L35415] Anakinra is a recombinant, non-glycosylated form of IL-1Ra that competes with and inhibits IL-1 by binding to the IL-1 receptor; therefore, the administration of this drug reduces the inflammatory response in RA patients.[A246908,L35415]     Anakinra can also be used in the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA).[L35415] Patients with NOMID have spontaneous mutations in CIAS1/NLRP3, a gene that encodes cryopyrin, an inflammasome component. When activated, the inflammasome enhances and promotes the production of IL-1β, an isoform of IL-1.[A246898,L35415] DIRA is an autoinflammatory disease caused by mutations in the IL1RN gene. These mutations reduce the amount of IL-1Ra that is secreted, leading to the unopposed action of IL-1.[L35415] Anakinra controls NOMID and DIRA symptoms by inhibiting IL-1 activity.[L35415]"
9,"Human insulin is indicated to improve glycemic control in adults and pediatric patients with diabetes mellitus.Human Insulin, also known as Regular Insulin, is a short-acting form of insulin used for the treatment of hyperglycemia caused by Type 1 and Type 2 Diabetes. Human insulin is produced by recombinant DNA technology and is identical to endogenously produced insulin. Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is released from the pancreas following a meal to promote the uptake of glucose from the blood into internal organs and tissues such as the liver, fat cells, and skeletal muscle. Absorption of glucose into cells allows for its transformation into glycogen or fat for storage. Insulin also inhibits hepatic glucose production, enhances protein synthesis, and inhibits lipolysis and proteolysis among many other functions.    Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. As a result, people with T1D rely primarily on exogenous forms of insulin to lower glucose levels in the blood. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Without treatment or improvement in non-pharmacological measures such as diet and exercise to lower blood glucose, high blood sugar eventually causes cellular resistance to endogenous insulin, and in the long term, damage to pancreatic islet cells. Insulin is typically prescribed later in the course of T2D, after trying several oral medications such as [DB00331], [DB01120], or [DB01261] have been tried, when sufficient damage has been caused to pancreatic cells that the body is no longer able to produce insulin on its own.     Marketed as the brand name product Humulin R or Novolin R, human insulin begins to exert its effects within 30 minutes of subcutaneous administration, while peak levels occur 3-4 hours after administration. Due to its quick onset of action, human insulin is considered ""bolus insulin"" as it provides high levels of insulin in a short period of time to mimic the release of endogenous insulin from the pancreas after meals. Bolus insulin is often combined with once daily, long-acting ""basal insulin"" such as [DB01307], [DB09564], and [DB00047] to provide low concentrations of background insulin that can keep blood sugar stable between meals or overnight. Use of basal and bolus insulin together is intended to mimic the pancreas' production of endogenous insulin, with a goal of avoiding any periods of hypoglycemia.    Human insulin is also available in an inhalable form, intended to be used as a bolus meal-time insulin. Exubera was the first inhaled insulin available on the market and was developed by Inhale Therapeutics (later named Nektar Therapeutics). Unfortunately, limited uptake by physicians and patients, poor sales, bulky packaging, and concerns over the possible impact on lung cancer development resulted in Exubera products being withdrawn from the US markets [A176005]. Exubera was followed by Afrezza, a monomeric inhaled insulin developed by Mannkind Corporation, which received FDA approval in 2016. While still available in the US, Afrezza has had similar concerns associated with its use, and had an FDA ""black box"" warning added to it to warn about use in patients with chronic lung disease. Afrezza does not currently have Health Canada or European Medicines Agency approval for marketing in Canada or the EU.     Human Insulin is a 51 residue peptide hormone produced by recombinant DNA technology by inserting the human insulin gene into Escherichia coli bacteria or Saccharomyces cerevisiae. The structure is identical to native human insulin, with two amino acid chains covalently linked by disulfide bonds.     Human insulin is also available in an intermediate-acting form as NPH (Neutral Protamine Hagedorn) as the marketed products Novolin N and Humulin N. NPH insulin is provided as a crystalline suspension of insulin with protamine and zinc, resulting in an onset of action in 1 to 3 hours, duration of action up to 24 hours, and peak action from 6 to 8 hours. Due to the added crystals, NPH insulin is typically cloudy when compared to other forms of insulin and has a neutral pH.    Without an adequate supply of insulin to promote absorption of glucose from the bloodstream, blood sugar levels can climb to dangerously high levels and can result in symptoms such as fatigue, headache, blurred vision, and increased thirst. If left untreated, the body starts to break down fat, instead of glucose, for energy which results in a build-up of ketone acids in the blood and a syndrome called ketoacidosis, which is a life-threatening medical emergency. In the long term, elevated blood sugar levels increase the risk of heart attack, stroke, and diabetic neuropathy.Insulin is a natural hormone produced by beta cells of the pancreas. In non-diabetic individuals, a basal level of insulin is supplemented with insulin spikes following meals. Postprandial insulin spikes are responsible for the metabolic changes that occur as the body transitions from a postabsorptive to absorptive state. Insulin promotes cellular uptake of glucose, particularly in muscle and adipose tissues, promotes energy storage via glycogenesis, opposes catabolism of energy stores, increases DNA replication and protein synthesis by stimulating amino acid uptake by liver, muscle and adipose tissue, and modifies the activity of numerous enzymes involved in glycogen synthesis and glycolysis. Insulin also promotes growth and is required for the actions of growth hormone (e.g. protein synthesis, cell division, DNA synthesis). The primary activity of insulin is the regulation of glucose metabolism. Insulin promotes glucose and amino acid uptake into muscle and adipose tissues, and other tissues except brain and liver. It also has an anabolic role in stimulating glycogen, fatty acid, and protein synthesis. Insulin inhibits gluconeogenesis in the liver.  Insulin binds to the insulin receptor (IR), a heterotetrameric protein consisting of two extracellular alpha units and two transmembrane beta units. The binding of insulin to the alpha subunit of IR stimulates the tyrosine kinase activity intrinsic to the beta subunit of the receptor. The bound receptor is able to autophosphorylate and phosphorylate numerous intracellular substrates such as insulin receptor substrates (IRS) proteins, Cbl, APS, Shc and Gab 1. These activated proteins, in turn, lead to the activation of downstream signaling molecules including PI3 kinase and Akt. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism."
