id,drug_text
0,"Lepirudin is also indicated for anticoagulation in patients with heparin-induced thrombocytopenia (HIT) and associated thromboembolic disease in order to prevent further thromboembolic complications.Lepirudin is a recombinant hirudin formed by 65 amino acids that acts as a highly specific and direct thrombin inhibitor. A single molecule of lepirudin binds to a molecule of thrombin, blocking its thrombogenic activity. The concomitant use of thrombolytic therapy and lepirudin is not recommended due to the high risk of bleeding that may be life-threatening. Patients with renal impairment have a higher risk of hemorrhagic adverse events.Lepirudin is a direct thrombin inhibitor used as an anticoagulant in patients for whom heparin is contraindicated. This blocks the protease activity of thrombin and inhibits the coagulation process."
1,"Cetuximab is also indicated for K-Ras wild-type, EGFR-expressing;    Cetuximab is not indicated for the treatment of Ras-mutant colorectal cancer or when the results of the Ras mutation tests are unknown.Cetuximab is a recombinant chimeric human/mouse IgG1 monoclonal antibody that competitively binds to epidermal growth factor receptor (EGFR) and competitively inhibits the binding of epidermal growth factor (EGF). _In vitro_, cetuximab was shown to mediate anti-tumour effects in numerous cancer cell lines and human tumour xenografts. It has also been investigated in advanced colorectal cancer, EGFR-expressing non-small cell lung cancer (NSCLC), and unresectable squamous cell skin cancer.Cetuximab is an anticancer agent that works by inhibiting the growth and survival of epidermal growth factor receptor (EGFR)-expressing tumour cells with high specificity and higher affinity than epidermal growth factor (EGF) and transforming growth factor-alpha (TGF-α), which are natural ligands of EGFR. It has been investigated as a therapeutic target for anticancer treatment, as it is often upregulated in cancer types, including head and neck, colon, and rectal cancers. Cetuximab is a monoclonal antibody that binds specifically to the EGFR on both normal and tumour cells to competitively inhibit the binding of epidermal growth factor (EGF) and other ligands that are produced by normal and tumour tissue epithelial cells."
2,"It is also used to manage signs and symptoms of polyarticular idiopathic arthritis and Juvenile Psoriatic Arthritis in those aged 2 years and older. The Fc component of etanercept contains the CH2 domain, the CH3 domain and hinge region, but not the CH1 domain of IgG1. It is used to treat or manage a variety of inflammatory conditions including rheumatoid arthritis (RA), ankylosing spondylitis (AS), and juvenile idiopathic poly-articular arthritis (JIA).Etanercept binds specifically to tumor necrosis factor (TNF) and thereby modulates biological processes that are induced or regulated by TNF. Such processes or molecules affected include the level of adhesion molecules expressed, as well as serum levels of cytokines and matrix metalloproteinases.There are two distinct receptors for TNF (TNFRs), a 55 kilodalton protein (p55) and a 75 kilodalton protein (p75). Increased levels of TNF are found in tissues and fluids of those with rheumatoid arthritis, psoriatic arthritis, ankylosing spondylitis, and plaque psoriasis."
3,"For treatment of heparin-induced thrombocytopenia and for the prevention of thrombosis. Bivalirudin is indicated for use in patients undergoing percutaneous coronary intervention (PCI), in patients at moderate to high risk acute coronary syndromes due to unstable angina or non-ST segment elevation in whom a PCI is planned.Bivalirudin is a synthetic 20 residue peptide (thrombin inhibitor) which reversibly inhibits thrombin. Once bound to the active site, thrombin cannot activate fibrinogen into fibrin, the crucial step in the formation of thrombus. Because it can cause blood stagnation, it is important to monitor changes in hematocrit, activated partial thromboplastin time, international normalized ratio and blood pressure.Bivalirudin mediates an inhibitory action on thrombin by directly and specifically binding to both the catalytic site and anion-binding exosite of circulating and clot-bound thrombin. The action of bivalirudin is reversible because thrombin will slowly cleave the thrombin-bivalirudin bond which recovers the active site of thrombin."
4,"It is also used for the treatment of pediatric patients with central precocious puberty (CPP).leuprolide is also indicated for the initial treatment of the symptoms of endometriosis.Leuprolide is a synthetic 9-residue peptide analogue of gonadotropin-releasing hormone (GnRH). As a GnRH mimic, leuprolide is capable of binding to the GnRH receptor (GnRHR) and inducing downstream modulation of both gonadotropin hormone and sex steroid levels. Prolonged activation of GnRHR results in significant downregulation of sex steroid levels, which is primarily responsible for the clinical efficacy of leuprolide in diverse conditions, including advanced prostate cancer, endometriosis, and central precocious puberty. Leuprolide remains frontline therapy in all conditions for which it is indicated for use.Leuprolide is a gonadotropin-releasing hormone (GnRH) analogue that functions as a GnRH receptor superagonist. As a GnRHR agonist, leuprolide binds to and initially activates downstream LH and FSH release; this initial spike in gonadotropin levels is responsible for some of the adverse effects associated with treatment."
5,"Alteplase is indicated for the treatment of acute ischemic stroke (AIS) and for use in acute myocardial infarction (AMI) for the reduction of mortality and incidence of heart failure. It was first approved by the FDA in 1987 for the management of thromboembolic disease, including acute myocardial infarction (AMI). Alteplase specificity for fibrin is achieved thanks to its high affinity for lysine residues. In the absence of fibrin, alteplase converts a limited amount of plasminogen. However, in the presence of fibrin clots, alteplase binds to fibrin and cleaves the arginine-valine bond at positions 560 and 561 of plasminogen, converting it into its active form, plasmin."
6,"Goserelin is indicated for:    - Use in combination with flutamide for the management of locally confined carcinoma of the prostate  - Palliative treatment of advanced carcinoma of the prostate  - The management of endometriosis  - Use as an endometrial-thinning agent prior to endometrial ablation for dysfunctional uterine bleeding  - Use in the palliative treatment of advanced breast cancer in pre- and perimenopausal womenGoserelin is a synthetic hormone. In men, it stops the production of the hormone testosterone, which may stimulate the growth of cancer cells. In women, goserelin decreases the production of the hormone estradiol (which may stimulate the growth of cancer cells) to levels similar to a postmenopausal state. When the medication is stopped, hormone levels return to normal.The pharmacokinetics of goserelin have been determined in both male and female healthy volunteers and patients. In these studies, goserelin was administered as a single 250µg (aqueous solution) dose and as a single or multiple 3.6 mg depot dose by subcutaneous route.Goserelin is a synthetic decapeptide analogue of LHRH."
7,"Used in the treatment of symptomatic Paget's disease for patients unresponsive to alternate treatments or intolerant to such treatments. In addition, it is used in emergency situations when serum calcium levels must be decreased quickly until the underlying condition is identified. It can also be added to existing therapeutic regimens for hypercalcemia such as intravenous fluids and furosemide, oral phosphate or corticosteroids, or other agents. Synthetic peptide, 32 residues long formulated as a nasal spray.Calcitonin inhibits bone resorption by osteoclasts (bone remodeling cells) and promotes bone formation by osteoblasts. In consequence, there is an increase in the jejunal secretion of water, sodium, potassium, and chloride.Calcitonin binds to the calcitonin receptor (found primarily in osteoclasts) which then enhances the production of vitamin D producing enzymes (25-hydroxyvitamine D-24-hydroxylase), leading to greater calcium retention and enhanced bone density."
8,"Anakinra is also indicated for the treatment of Neonatal-Onset Multisystem Inflammatory Disease (NOMID) and the treatment of Deficiency of Interleukin-1 Receptor Antagonist (DIRA). Since anakinra is approved for this condition under EUA, the drug should only be used when there are no alternative treatment available.Anakinra is a recombinant human interleukin-1 (IL-1) receptor antagonist (IL-1Ra) composed of 153 amino acid residues. On November 8, 2022, the FDA issued an emergency use authorization (EUA) of anakinra for the treatment of COVID-19 in hospitalized patients who are at risk of progressing to severe respiratory failure.Anakinra is a recombinant human interleukin-1 receptor antagonist (IL-1Ra) that blocks the biologic activity of interleukin-1 (IL-1) by competitively inhibiting its ability to bind to the IL-1 type I receptor (IL-1RI). Anakinra can also be used in the treatment of neonatal-onset multisystem inflammatory disease (NOMID) and deficiency of interleukin-1 receptor antagonist (DIRA). Patients with NOMID have spontaneous mutations in CIAS1/NLRP3, a gene that encodes cryopyrin, an inflammasome component."
9,"Typically prescribed for the management of diabetes mellitus, insulin is a peptide hormone produced by beta cells of the pancreas that promotes glucose metabolism. Insulin is an important treatment in the management of Type 1 Diabetes (T1D) which is caused by an autoimmune reaction that destroys the beta cells of the pancreas, resulting in the body not being able to produce or synthesize the insulin needed to manage circulating blood sugar levels. Insulin is also used in the treatment of Type 2 Diabetes (T2D), another form of diabetes mellitus that is a slowly progressing metabolic disorder caused by a combination of genetic and lifestyle factors that promote chronically elevated blood sugar levels. Human insulin is also available in an intermediate-acting form as NPH (Neutral Protamine Hagedorn) as the marketed products Novolin N and Humulin N. NPH insulin is provided as a crystalline suspension of insulin with protamine and zinc, resulting in an onset of action in 1 to 3 hours, duration of action up to 24 hours, and peak action from 6 to 8 hours. Akt regulates the activity of glucose transporter 4 (GLUT4) and protein kinase C (PKC) which play a critical role in metabolism and catabolism."
